food|noun
pie|noun
pies|noun
pig|noun
pigs|noun
pin|noun
pipe|noun
pizzas|noun
place|noun
plane|noun
planes|noun
plant|noun
plantation|noun
plants|noun
plastic|noun
plate|noun
play|noun
playground|noun
pleasure|noun
plot|noun
plough|noun
pocket|noun
point|noun
poison|noun
police|noun
polish|noun
pollution|noun
popcorn|noun
porter|noun
position|noun
pot|noun
potato|noun
powder|noun
power|noun
price|noun
print|noun
prison|noun
process|noun
produce|noun
profit|noun
property|noun
prose|noun
protest|noun
pull|noun
pump|noun
punishment|noun
purpose|noun
push|noun
quarter|noun
quartz|noun
queen|noun
question|noun
quicksand|noun
quiet|noun
quill|noun
quilt|noun
quince|noun
quiver|noun
rabbit|noun
rabbits|noun
rail|noun
railway|noun
rain|noun
rainstorm|noun
rake|noun
range|noun
rat|noun
rate|noun
ray|noun
reaction|noun
reading|noun
reason|noun
receipt|noun
recess|noun
record|noun
regret|noun
relation|noun
religion|noun
representative|noun
request|noun
respect|noun
rest|noun
reward|noun
rhythm|noun
rice|noun
riddle|noun
rifle|noun
ring|noun
rings|noun
river|noun
road|noun
robin|noun
rock|noun
rod|noun
roll|noun
roof|noun
room|noun
root|noun
rose|noun
route|noun
rub|noun
rule|noun
run|noun
sack|noun
sail|noun
salt|noun
sand|noun
scale|noun
scarecrow|noun
scarf|noun
scene|noun
scent|noun
school|noun
science|noun
scissors|noun
screw|noun
sea|noun
seashore|noun
seat|noun
secretary|noun
seed|noun
selection|noun
self|noun
sense|noun
servant|noun
shade|noun
shake|noun
shame|noun
shape|noun
sheep|noun
sheet|noun
shelf|noun
ship|noun
shirt|noun
shock|noun
shoe|noun
shoes|noun
shop|noun
show|noun
side|noun
sidewalk|noun
sign|noun
silk|noun
silver|noun
sink|noun
sister|noun
sisters|noun
size|noun
skate|noun
skin|noun
skirt|noun
sky|noun
slave|noun
sleep|noun
sleet|noun
slip|noun
slope|noun
smash|noun
smell|noun
smile|noun
smoke|noun
snail|noun
snails|noun
snake|noun
snakes|noun
sneeze|noun
snow|noun
soap|noun
society|noun
sock|noun
soda|noun
sofa|noun
son|noun
song|noun
songs|noun
sort|noun
sound|noun
soup|noun
space|noun
spade|noun
spark|noun
spiders|noun
sponge|noun
spoon|noun
spot|noun
spring|noun
spy|noun
square|noun
squirrel|noun
stage|noun
stamp|noun
star|noun
start|noun
statement|noun
station|noun
steam|noun
steel|noun
stem|noun
step|noun
stew|noun
stick|noun
sticks|noun
stitch|noun
stocking|noun
stomach|noun
stone|noun
stop|noun
store|noun
story|noun
stove|noun
stranger|noun
straw|noun
stream|noun
street|noun
stretch|noun
string|noun
structure|noun
substance|noun
sugar|noun
suggestion|noun
suit|noun
summer|noun
sun|noun
support|noun
surprise|noun
sweater|noun
swim|noun
swing|noun
system|noun
table|noun
tail|noun
talk|noun
tank|noun
taste|noun
tax|noun
teaching|noun
team|noun
teeth|noun
temper|noun
tendency|noun
tent|noun
territory|noun
test|noun
texture|noun
theory|noun
thing|noun
things|noun
thought|noun
thread|noun
thrill|noun
throat|noun
throne|noun
thumb|noun
thunder|noun
ticket|noun
tiger|noun
time|noun
tin|noun
title|noun
toad|noun
toe|noun
toes|noun
tomatoes|noun
tongue|noun
tooth|noun
toothbrush|noun
toothpaste|noun
top|noun
touch|noun
town|noun
toy|noun
toys|noun
trade|noun
trail|noun
train|noun
trains|noun
tramp|noun
transport|noun
tray|noun
treatment|noun
tree|noun
trees|noun
trick|noun
trip|noun
trouble|noun
trousers|noun
truck|noun
trucks|noun
tub|noun
turkey|noun
turn|noun
twig|noun
twist|noun
umbrella|noun
uncle|noun
underwear|noun
unit|noun
use|noun
vacation|noun
value|noun
van|noun
vase|noun
vegetable|noun
veil|noun
vein|noun
verse|noun
vessel|noun
vest|noun
view|noun
visitor|noun
voice|noun
volcano|noun
volleyball|noun
voyage|noun
walk|noun
wall|noun
war|noun
wash|noun
waste|noun
watch|noun
water|noun
wave|noun
waves|noun
wax|noun
way|noun
wealth|noun
weather|noun
week|noun
weight|noun
wheel|noun
whip|noun
whistle|noun
wilderness|noun
wind|noun
window|noun
wine|noun
wing|noun
winter|noun
wire|noun
wish|noun
woman|noun
women|noun
wood|noun
wool|noun
word|noun
work|noun
worm|noun
wound|noun
wren|noun
wrench|noun
wrist|noun
writer|noun
writing|noun
yak|noun
yam|noun
yard|noun
yarn|noun
year|noun
yoke|noun
zebra|noun
zephyr|noun
zinc|noun
zipper|noun
zoo|noun
to abide|verb|{'infinitive':'to abide','past':'abided','present':'abides', 'future':'will abide'}
to accelerate|verb|{'infinitive':'to accelerate','past':'accelerated','present':'accelerates', 'future':'will accelerate'}
to accept|verb|{'infinitive':'to accept','past':'accepted','present':'accepts', 'future':'will accept'}
to accomplish|verb|{'infinitive':'to accomplish','past':'accomplished','present':'accomplishs', 'future':'will accomplish'}
to achieve|verb|{'infinitive':'to achieve','past':'achieved','present':'achieves', 'future':'will achieve'}
to acquire|verb|{'infinitive':'to acquire','past':'acquired','present':'acquires', 'future':'will acquire'}
to acted|verb|{'infinitive':'to acted','past':'acteded','present':'acteds', 'future':'will acted'}
to activate|verb|{'infinitive':'to activate','past':'activated','present':'activates', 'future':'will activate'}
to adapt|verb|{'infinitive':'to adapt','past':'adapted','present':'adapts', 'future':'will adapt'}
to add|verb|{'infinitive':'to add','past':'added','present':'adds', 'future':'will add'}
to address|verb|{'infinitive':'to address','past':'addressed','present':'addresss', 'future':'will address'}
to administer|verb|{'infinitive':'to administer','past':'administered','present':'administers', 'future':'will administer'}
to admire|verb|{'infinitive':'to admire','past':'admired','present':'admires', 'future':'will admire'}
to admit|verb|{'infinitive':'to admit','past':'admited','present':'admits', 'future':'will admit'}
to adopt|verb|{'infinitive':'to adopt','past':'adopted','present':'adopts', 'future':'will adopt'}
to advise|verb|{'infinitive':'to advise','past':'advised','present':'advises', 'future':'will advise'}
to afford|verb|{'infinitive':'to afford','past':'afforded','present':'affords', 'future':'will afford'}
to agree|verb|{'infinitive':'to agree','past':'agreed','present':'agrees', 'future':'will agree'}
to alert|verb|{'infinitive':'to alert','past':'alerted','present':'alerts', 'future':'will alert'}
to alight|verb|{'infinitive':'to alight','past':'alighted','present':'alights', 'future':'will alight'}
to allow|verb|{'infinitive':'to allow','past':'allowed','present':'allows', 'future':'will allow'}
to altered|verb|{'infinitive':'to altered','past':'altereded','present':'altereds', 'future':'will altered'}
to amuse|verb|{'infinitive':'to amuse','past':'amused','present':'amuses', 'future':'will amuse'}
to analyze|verb|{'infinitive':'to analyze','past':'analyzed','present':'analyzes', 'future':'will analyze'}
to announce|verb|{'infinitive':'to announce','past':'announced','present':'announces', 'future':'will announce'}
to annoy|verb|{'infinitive':'to annoy','past':'annoied','present':'annoys', 'future':'will annoy'}
to answer|verb|{'infinitive':'to answer','past':'answered','present':'answers', 'future':'will answer'}
to anticipate|verb|{'infinitive':'to anticipate','past':'anticipated','present':'anticipates', 'future':'will anticipate'}
to apologize|verb|{'infinitive':'to apologize','past':'apologized','present':'apologizes', 'future':'will apologize'}
to appear|verb|{'infinitive':'to appear','past':'appeared','present':'appears', 'future':'will appear'}
to applaud|verb|{'infinitive':'to applaud','past':'applauded','present':'applauds', 'future':'will applaud'}
to applied|verb|{'infinitive':'to applied','past':'applieded','present':'applieds', 'future':'will applied'}
to appoint|verb|{'infinitive':'to appoint','past':'appointed','present':'appoints', 'future':'will appoint'}
to appraise|verb|{'infinitive':'to appraise','past':'appraised','present':'appraises', 'future':'will appraise'}
to appreciate|verb|{'infinitive':'to appreciate','past':'appreciated','present':'appreciates', 'future':'will appreciate'}
to approve|verb|{'infinitive':'to approve','past':'approved','present':'approves', 'future':'will approve'}
to arbitrate|verb|{'infinitive':'to arbitrate','past':'arbitrated','present':'arbitrates', 'future':'will arbitrate'}
to argue|verb|{'infinitive':'to argue','past':'argued','present':'argues', 'future':'will argue'}
to arise|verb|{'infinitive':'to arise','past':'arised','present':'arises', 'future':'will arise'}
to arrange|verb|{'infinitive':'to arrange','past':'arranged','present':'arranges', 'future':'will arrange'}
to arrest|verb|{'infinitive':'to arrest','past':'arrested','present':'arrests', 'future':'will arrest'}
to arrive|verb|{'infinitive':'to arrive','past':'arrived','present':'arrives', 'future':'will arrive'}
to ascertain|verb|{'infinitive':'to ascertain','past':'ascertained','present':'ascertains', 'future':'will ascertain'}
to ask|verb|{'infinitive':'to ask','past':'asked','present':'asks', 'future':'will ask'}
to assemble|verb|{'infinitive':'to assemble','past':'assembled','present':'assembles', 'future':'will assemble'}
to assess|verb|{'infinitive':'to assess','past':'assessed','present':'assesss', 'future':'will assess'}
to assist|verb|{'infinitive':'to assist','past':'assisted','present':'assists', 'future':'will assist'}
to assure|verb|{'infinitive':'to assure','past':'assured','present':'assures', 'future':'will assure'}
to attach|verb|{'infinitive':'to attach','past':'attached','present':'attachs', 'future':'will attach'}
to attack|verb|{'infinitive':'to attack','past':'attacked','present':'attacks', 'future':'will attack'}
to attain|verb|{'infinitive':'to attain','past':'attained','present':'attains', 'future':'will attain'}
to attempt|verb|{'infinitive':'to attempt','past':'attempted','present':'attempts', 'future':'will attempt'}
to attend|verb|{'infinitive':'to attend','past':'attended','present':'attends', 'future':'will attend'}
to attract|verb|{'infinitive':'to attract','past':'attracted','present':'attracts', 'future':'will attract'}
to audited|verb|{'infinitive':'to audited','past':'auditeded','present':'auditeds', 'future':'will audited'}
to avoid|verb|{'infinitive':'to avoid','past':'avoided','present':'avoids', 'future':'will avoid'}
to awake|verb|{'infinitive':'to awake','past':'awaked','present':'awakes', 'future':'will awake'}
to back|verb|{'infinitive':'to back','past':'backed','present':'backs', 'future':'will back'}
to bake|verb|{'infinitive':'to bake','past':'baked','present':'bakes', 'future':'will bake'}
to balance|verb|{'infinitive':'to balance','past':'balanced','present':'balances', 'future':'will balance'}
to ban|verb|{'infinitive':'to ban','past':'baned','present':'bans', 'future':'will ban'}
to bang|verb|{'infinitive':'to bang','past':'banged','present':'bangs', 'future':'will bang'}
to bare|verb|{'infinitive':'to bare','past':'bared','present':'bares', 'future':'will bare'}
to bat|verb|{'infinitive':'to bat','past':'bated','present':'bats', 'future':'will bat'}
to bathe|verb|{'infinitive':'to bathe','past':'bathed','present':'bathes', 'future':'will bathe'}
to battle|verb|{'infinitive':'to battle','past':'battled','present':'battles', 'future':'will battle'}
to be|verb|{'infinitive':'to be','past':'bed','present':'bes', 'future':'will be'}
to beam|verb|{'infinitive':'to beam','past':'beamed','present':'beams', 'future':'will beam'}
to bear|verb|{'infinitive':'to bear','past':'beared','present':'bears', 'future':'will bear'}
to beat|verb|{'infinitive':'to beat','past':'beated','present':'beats', 'future':'will beat'}
to become|verb|{'infinitive':'to become','past':'becomed','present':'becomes', 'future':'will become'}
to beg|verb|{'infinitive':'to beg','past':'beged','present':'begs', 'future':'will beg'}
to begin|verb|{'infinitive':'to begin','past':'begined','present':'begins', 'future':'will begin'}
to behave|verb|{'infinitive':'to behave','past':'behaved','present':'behaves', 'future':'will behave'}
to behold|verb|{'infinitive':'to behold','past':'beholded','present':'beholds', 'future':'will behold'}
to belong|verb|{'infinitive':'to belong','past':'belonged','present':'belongs', 'future':'will belong'}
to bend|verb|{'infinitive':'to bend','past':'bended','present':'bends', 'future':'will bend'}
to beset|verb|{'infinitive':'to beset','past':'beseted','present':'besets', 'future':'will beset'}
to bet|verb|{'infinitive':'to bet','past':'beted','present':'bets', 'future':'will bet'}
to bid|verb|{'infinitive':'to bid','past':'bided','present':'bids', 'future':'will bid'}
to bind|verb|{'infinitive':'to bind','past':'binded','present':'binds', 'future':'will bind'}
to bite|verb|{'infinitive':'to bite','past':'bited','present':'bites', 'future':'will bite'}
to bleach|verb|{'infinitive':'to bleach','past':'bleached','present':'bleachs', 'future':'will bleach'}
to bleed|verb|{'infinitive':'to bleed','past':'bleeded','present':'bleeds', 'future':'will bleed'}
to bless|verb|{'infinitive':'to bless','past':'blessed','present':'blesss', 'future':'will bless'}
to blind|verb|{'infinitive':'to blind','past':'blinded','present':'blinds', 'future':'will blind'}
to blink|verb|{'infinitive':'to blink','past':'blinked','present':'blinks', 'future':'will blink'}
to blot|verb|{'infinitive':'to blot','past':'bloted','present':'blots', 'future':'will blot'}
to blow|verb|{'infinitive':'to blow','past':'blowed','present':'blows', 'future':'will blow'}
to blush|verb|{'infinitive':'to blush','past':'blushed','present':'blushs', 'future':'will blush'}
to boast|verb|{'infinitive':'to boast','past':'boasted','present':'boasts', 'future':'will boast'}
to boil|verb|{'infinitive':'to boil','past':'boiled','present':'boils', 'future':'will boil'}
to bolt|verb|{'infinitive':'to bolt','past':'bolted','present':'bolts', 'future':'will bolt'}
to bomb|verb|{'infinitive':'to bomb','past':'bombed','present':'bombs', 'future':'will bomb'}
to book|verb|{'infinitive':'to book','past':'booked','present':'books', 'future':'will book'}
to bore|verb|{'infinitive':'to bore','past':'bored','present':'bores', 'future':'will bore'}
to borrow|verb|{'infinitive':'to borrow','past':'borrowed','present':'borrows', 'future':'will borrow'}
to bounce|verb|{'infinitive':'to bounce','past':'bounced','present':'bounces', 'future':'will bounce'}
to bow|verb|{'infinitive':'to bow','past':'bowed','present':'bows', 'future':'will bow'}
to box|verb|{'infinitive':'to box','past':'boxed','present':'boxs', 'future':'will box'}
to brake|verb|{'infinitive':'to brake','past':'braked','present':'brakes', 'future':'will brake'}
to branch|verb|{'infinitive':'to branch','past':'branched','present':'branchs', 'future':'will branch'}
to break|verb|{'infinitive':'to break','past':'breaked','present':'breaks', 'future':'will break'}
to breathe|verb|{'infinitive':'to breathe','past':'breathed','present':'breathes', 'future':'will breathe'}
to breed|verb|{'infinitive':'to breed','past':'breeded','present':'breeds', 'future':'will breed'}
to brief|verb|{'infinitive':'to brief','past':'briefed','present':'briefs', 'future':'will brief'}
to bring|verb|{'infinitive':'to bring','past':'bringed','present':'brings', 'future':'will bring'}
to broadcast|verb|{'infinitive':'to broadcast','past':'broadcasted','present':'broadcasts', 'future':'will broadcast'}
to bruise|verb|{'infinitive':'to bruise','past':'bruised','present':'bruises', 'future':'will bruise'}
to brush|verb|{'infinitive':'to brush','past':'brushed','present':'brushs', 'future':'will brush'}
to bubble|verb|{'infinitive':'to bubble','past':'bubbled','present':'bubbles', 'future':'will bubble'}
to budget|verb|{'infinitive':'to budget','past':'budgeted','present':'budgets', 'future':'will budget'}
to build|verb|{'infinitive':'to build','past':'builded','present':'builds', 'future':'will build'}
to bump|verb|{'infinitive':'to bump','past':'bumpped','present':'bumps', 'future':'will bump'}
to burn|verb|{'infinitive':'to burn','past':'burned','present':'burns', 'future':'will burn'}
to burst|verb|{'infinitive':'to burst','past':'bursted','present':'bursts', 'future':'will burst'}
to bury|verb|{'infinitive':'to bury','past':'buried','present':'burys', 'future':'will bury'}
to bust|verb|{'infinitive':'to bust','past':'busted','present':'busts', 'future':'will bust'}
to buy|verb|{'infinitive':'to buy','past':'buied','present':'buys', 'future':'will buy'}
to buze|verb|{'infinitive':'to buze','past':'buzed','present':'buzes', 'future':'will buze'}
to calculate|verb|{'infinitive':'to calculate','past':'calculated','present':'calculates', 'future':'will calculate'}
to call|verb|{'infinitive':'to call','past':'called','present':'calls', 'future':'will call'}
to camp|verb|{'infinitive':'to camp','past':'campped','present':'camps', 'future':'will camp'}
to care|verb|{'infinitive':'to care','past':'cared','present':'cares', 'future':'will care'}
to carry|verb|{'infinitive':'to carry','past':'carried','present':'carrys', 'future':'will carry'}
to carve|verb|{'infinitive':'to carve','past':'carved','present':'carves', 'future':'will carve'}
to cast|verb|{'infinitive':'to cast','past':'casted','present':'casts', 'future':'will cast'}
to catalog|verb|{'infinitive':'to catalog','past':'cataloged','present':'catalogs', 'future':'will catalog'}
to catch|verb|{'infinitive':'to catch','past':'catched','present':'catchs', 'future':'will catch'}
to cause|verb|{'infinitive':'to cause','past':'caused','present':'causes', 'future':'will cause'}
to challenge|verb|{'infinitive':'to challenge','past':'challenged','present':'challenges', 'future':'will challenge'}
to change|verb|{'infinitive':'to change','past':'changed','present':'changes', 'future':'will change'}
to charge|verb|{'infinitive':'to charge','past':'charged','present':'charges', 'future':'will charge'}
to chart|verb|{'infinitive':'to chart','past':'charted','present':'charts', 'future':'will chart'}
to chase|verb|{'infinitive':'to chase','past':'chased','present':'chases', 'future':'will chase'}
to cheat|verb|{'infinitive':'to cheat','past':'cheated','present':'cheats', 'future':'will cheat'}
to check|verb|{'infinitive':'to check','past':'checked','present':'checks', 'future':'will check'}
to cheer|verb|{'infinitive':'to cheer','past':'cheered','present':'cheers', 'future':'will cheer'}
to chew|verb|{'infinitive':'to chew','past':'chewed','present':'chews', 'future':'will chew'}
to choke|verb|{'infinitive':'to choke','past':'choked','present':'chokes', 'future':'will choke'}
to choose|verb|{'infinitive':'to choose','past':'choosed','present':'chooses', 'future':'will choose'}
to chop|verb|{'infinitive':'to chop','past':'chopped','present':'chops', 'future':'will chop'}
to claim|verb|{'infinitive':'to claim','past':'claimed','present':'claims', 'future':'will claim'}
to clap|verb|{'infinitive':'to clap','past':'clapped','present':'claps', 'future':'will clap'}
to clarify|verb|{'infinitive':'to clarify','past':'clarified','present':'clarifys', 'future':'will clarify'}
to classify|verb|{'infinitive':'to classify','past':'classified','present':'classifys', 'future':'will classify'}
to clean|verb|{'infinitive':'to clean','past':'cleaned','present':'cleans', 'future':'will clean'}
to clear|verb|{'infinitive':'to clear','past':'cleared','present':'clears', 'future':'will clear'}
to cling|verb|{'infinitive':'to cling','past':'clinged','present':'clings', 'future':'will cling'}
to clip|verb|{'infinitive':'to clip','past':'clipped','present':'clips', 'future':'will clip'}
to close|verb|{'infinitive':'to close','past':'closed','present':'closes', 'future':'will close'}
to clothe|verb|{'infinitive':'to clothe','past':'clothed','present':'clothes', 'future':'will clothe'}
to coach|verb|{'infinitive':'to coach','past':'coached','present':'coachs', 'future':'will coach'}
to coil|verb|{'infinitive':'to coil','past':'coiled','present':'coils', 'future':'will coil'}
to collect|verb|{'infinitive':'to collect','past':'collected','present':'collects', 'future':'will collect'}
to color|verb|{'infinitive':'to color','past':'colored','present':'colors', 'future':'will color'}
to comb|verb|{'infinitive':'to comb','past':'combed','present':'combs', 'future':'will comb'}
to come|verb|{'infinitive':'to come','past':'comed','present':'comes', 'future':'will come'}
to command|verb|{'infinitive':'to command','past':'commanded','present':'commands', 'future':'will command'}
to communicate|verb|{'infinitive':'to communicate','past':'communicated','present':'communicates', 'future':'will communicate'}
to compare|verb|{'infinitive':'to compare','past':'compared','present':'compares', 'future':'will compare'}
to compete|verb|{'infinitive':'to compete','past':'competed','present':'competes', 'future':'will compete'}
to compile|verb|{'infinitive':'to compile','past':'compiled','present':'compiles', 'future':'will compile'}
to complain|verb|{'infinitive':'to complain','past':'complained','present':'complains', 'future':'will complain'}
to complete|verb|{'infinitive':'to complete','past':'completed','present':'completes', 'future':'will complete'}
to compose|verb|{'infinitive':'to compose','past':'composed','present':'composes', 'future':'will compose'}
to compute|verb|{'infinitive':'to compute','past':'computed','present':'computes', 'future':'will compute'}
to conceive|verb|{'infinitive':'to conceive','past':'conceived','present':'conceives', 'future':'will conceive'}
to concentrate|verb|{'infinitive':'to concentrate','past':'concentrated','present':'concentrates', 'future':'will concentrate'}
to conceptualize|verb|{'infinitive':'to conceptualize','past':'conceptualized','present':'conceptualizes', 'future':'will conceptualize'}
to concern|verb|{'infinitive':'to concern','past':'concerned','present':'concerns', 'future':'will concern'}
to conclude|verb|{'infinitive':'to conclude','past':'concluded','present':'concludes', 'future':'will conclude'}
to conduct|verb|{'infinitive':'to conduct','past':'conducted','present':'conducts', 'future':'will conduct'}
to confess|verb|{'infinitive':'to confess','past':'confessed','present':'confesss', 'future':'will confess'}
to confront|verb|{'infinitive':'to confront','past':'confronted','present':'confronts', 'future':'will confront'}
to confuse|verb|{'infinitive':'to confuse','past':'confused','present':'confuses', 'future':'will confuse'}
to connect|verb|{'infinitive':'to connect','past':'connected','present':'connects', 'future':'will connect'}
to conserve|verb|{'infinitive':'to conserve','past':'conserved','present':'conserves', 'future':'will conserve'}
to consider|verb|{'infinitive':'to consider','past':'considered','present':'considers', 'future':'will consider'}
to consist|verb|{'infinitive':'to consist','past':'consisted','present':'consists', 'future':'will consist'}
to consolidate|verb|{'infinitive':'to consolidate','past':'consolidated','present':'consolidates', 'future':'will consolidate'}
to construct|verb|{'infinitive':'to construct','past':'constructed','present':'constructs', 'future':'will construct'}
to consult|verb|{'infinitive':'to consult','past':'consulted','present':'consults', 'future':'will consult'}
to contain|verb|{'infinitive':'to contain','past':'contained','present':'contains', 'future':'will contain'}
to continue|verb|{'infinitive':'to continue','past':'continued','present':'continues', 'future':'will continue'}
to contract|verb|{'infinitive':'to contract','past':'contracted','present':'contracts', 'future':'will contract'}
to control|verb|{'infinitive':'to control','past':'controled','present':'controls', 'future':'will control'}
to convert|verb|{'infinitive':'to convert','past':'converted','present':'converts', 'future':'will convert'}
to coordinate|verb|{'infinitive':'to coordinate','past':'coordinated','present':'coordinates', 'future':'will coordinate'}
to copy|verb|{'infinitive':'to copy','past':'copied','present':'copys', 'future':'will copy'}
to correct|verb|{'infinitive':'to correct','past':'corrected','present':'corrects', 'future':'will correct'}
to correlate|verb|{'infinitive':'to correlate','past':'correlated','present':'correlates', 'future':'will correlate'}
to cost|verb|{'infinitive':'to cost','past':'costed','present':'costs', 'future':'will cost'}
to cough|verb|{'infinitive':'to cough','past':'coughed','present':'coughs', 'future':'will cough'}
to counsel|verb|{'infinitive':'to counsel','past':'counseled','present':'counsels', 'future':'will counsel'}
to count|verb|{'infinitive':'to count','past':'counted','present':'counts', 'future':'will count'}
to cover|verb|{'infinitive':'to cover','past':'covered','present':'covers', 'future':'will cover'}
to crack|verb|{'infinitive':'to crack','past':'cracked','present':'cracks', 'future':'will crack'}
to crash|verb|{'infinitive':'to crash','past':'crashed','present':'crashs', 'future':'will crash'}
to crawl|verb|{'infinitive':'to crawl','past':'crawled','present':'crawls', 'future':'will crawl'}
to create|verb|{'infinitive':'to create','past':'created','present':'creates', 'future':'will create'}
to creep|verb|{'infinitive':'to creep','past':'creepped','present':'creeps', 'future':'will creep'}
to critique|verb|{'infinitive':'to critique','past':'critiqued','present':'critiques', 'future':'will critique'}
to cross|verb|{'infinitive':'to cross','past':'crossed','present':'crosss', 'future':'will cross'}
to crush|verb|{'infinitive':'to crush','past':'crushed','present':'crushs', 'future':'will crush'}
to cry|verb|{'infinitive':'to cry','past':'cried','present':'crys', 'future':'will cry'}
to cure|verb|{'infinitive':'to cure','past':'cured','present':'cures', 'future':'will cure'}
to curl|verb|{'infinitive':'to curl','past':'curled','present':'curls', 'future':'will curl'}
to curve|verb|{'infinitive':'to curve','past':'curved','present':'curves', 'future':'will curve'}
to cut|verb|{'infinitive':'to cut','past':'cuted','present':'cuts', 'future':'will cut'}
to cycle|verb|{'infinitive':'to cycle','past':'cycled','present':'cycles', 'future':'will cycle'}
to dam|verb|{'infinitive':'to dam','past':'damed','present':'dams', 'future':'will dam'}
to damage|verb|{'infinitive':'to damage','past':'damaged','present':'damages', 'future':'will damage'}
to dance|verb|{'infinitive':'to dance','past':'danced','present':'dances', 'future':'will dance'}
to dare|verb|{'infinitive':'to dare','past':'dared','present':'dares', 'future':'will dare'}
to deal|verb|{'infinitive':'to deal','past':'dealed','present':'deals', 'future':'will deal'}
to decay|verb|{'infinitive':'to decay','past':'decaied','present':'decays', 'future':'will decay'}
to deceive|verb|{'infinitive':'to deceive','past':'deceived','present':'deceives', 'future':'will deceive'}
to decide|verb|{'infinitive':'to decide','past':'decided','present':'decides', 'future':'will decide'}
to decorate|verb|{'infinitive':'to decorate','past':'decorated','present':'decorates', 'future':'will decorate'}
to define|verb|{'infinitive':'to define','past':'defined','present':'defines', 'future':'will define'}
to delay|verb|{'infinitive':'to delay','past':'delaied','present':'delays', 'future':'will delay'}
to delegate|verb|{'infinitive':'to delegate','past':'delegated','present':'delegates', 'future':'will delegate'}
to delight|verb|{'infinitive':'to delight','past':'delighted','present':'delights', 'future':'will delight'}
to deliver|verb|{'infinitive':'to deliver','past':'delivered','present':'delivers', 'future':'will deliver'}
to demonstrate|verb|{'infinitive':'to demonstrate','past':'demonstrated','present':'demonstrates', 'future':'will demonstrate'}
to depend|verb|{'infinitive':'to depend','past':'depended','present':'depends', 'future':'will depend'}
to describe|verb|{'infinitive':'to describe','past':'described','present':'describes', 'future':'will describe'}
to desert|verb|{'infinitive':'to desert','past':'deserted','present':'deserts', 'future':'will desert'}
to deserve|verb|{'infinitive':'to deserve','past':'deserved','present':'deserves', 'future':'will deserve'}
to design|verb|{'infinitive':'to design','past':'designed','present':'designs', 'future':'will design'}
to destroy|verb|{'infinitive':'to destroy','past':'destroied','present':'destroys', 'future':'will destroy'}
to detail|verb|{'infinitive':'to detail','past':'detailed','present':'details', 'future':'will detail'}
to detect|verb|{'infinitive':'to detect','past':'detected','present':'detects', 'future':'will detect'}
to determine|verb|{'infinitive':'to determine','past':'determined','present':'determines', 'future':'will determine'}
to develop|verb|{'infinitive':'to develop','past':'developped','present':'develops', 'future':'will develop'}
to devise|verb|{'infinitive':'to devise','past':'devised','present':'devises', 'future':'will devise'}
to diagnose|verb|{'infinitive':'to diagnose','past':'diagnosed','present':'diagnoses', 'future':'will diagnose'}
to dig|verb|{'infinitive':'to dig','past':'diged','present':'digs', 'future':'will dig'}
to direct|verb|{'infinitive':'to direct','past':'directed','present':'directs', 'future':'will direct'}
to disagree|verb|{'infinitive':'to disagree','past':'disagreed','present':'disagrees', 'future':'will disagree'}
to disappear|verb|{'infinitive':'to disappear','past':'disappeared','present':'disappears', 'future':'will disappear'}
to disapprove|verb|{'infinitive':'to disapprove','past':'disapproved','present':'disapproves', 'future':'will disapprove'}
to disarm|verb|{'infinitive':'to disarm','past':'disarmed','present':'disarms', 'future':'will disarm'}
to discover|verb|{'infinitive':'to discover','past':'discovered','present':'discovers', 'future':'will discover'}
to dislike|verb|{'infinitive':'to dislike','past':'disliked','present':'dislikes', 'future':'will dislike'}
to dispense|verb|{'infinitive':'to dispense','past':'dispensed','present':'dispenses', 'future':'will dispense'}
to display|verb|{'infinitive':'to display','past':'displaied','present':'displays', 'future':'will display'}
to disprove|verb|{'infinitive':'to disprove','past':'disproved','present':'disproves', 'future':'will disprove'}
to dissect|verb|{'infinitive':'to dissect','past':'dissected','present':'dissects', 'future':'will dissect'}
to distribute|verb|{'infinitive':'to distribute','past':'distributed','present':'distributes', 'future':'will distribute'}
to dive|verb|{'infinitive':'to dive','past':'dived','present':'dives', 'future':'will dive'}
to divert|verb|{'infinitive':'to divert','past':'diverted','present':'diverts', 'future':'will divert'}
to divide|verb|{'infinitive':'to divide','past':'divided','present':'divides', 'future':'will divide'}
to do|verb|{'infinitive':'to do','past':'doed','present':'dos', 'future':'will do'}
to double|verb|{'infinitive':'to double','past':'doubled','present':'doubles', 'future':'will double'}
to doubt|verb|{'infinitive':'to doubt','past':'doubted','present':'doubts', 'future':'will doubt'}
to draft|verb|{'infinitive':'to draft','past':'drafted','present':'drafts', 'future':'will draft'}
to drag|verb|{'infinitive':'to drag','past':'draged','present':'drags', 'future':'will drag'}
to drain|verb|{'infinitive':'to drain','past':'drained','present':'drains', 'future':'will drain'}
to dramatize|verb|{'infinitive':'to dramatize','past':'dramatized','present':'dramatizes', 'future':'will dramatize'}
to draw|verb|{'infinitive':'to draw','past':'drawed','present':'draws', 'future':'will draw'}
to dream|verb|{'infinitive':'to dream','past':'dreamed','present':'dreams', 'future':'will dream'}
to dress|verb|{'infinitive':'to dress','past':'dressed','present':'dresss', 'future':'will dress'}
to drink|verb|{'infinitive':'to drink','past':'drinked','present':'drinks', 'future':'will drink'}
to drip|verb|{'infinitive':'to drip','past':'dripped','present':'drips', 'future':'will drip'}
